personId,eventId,best,worldRank,continentRank,countryRank
2017HARR08,333bf,3957,154,52,7
2012HIRA01,333bf,4003,155,50,5
2010HONG01,333bf,4006,156,51,3
2015SANC18,333bf,4008,157,53,2
2016SALA18,333bf,4010,158,54,13
2015KEAR01,333bf,4031,159,55,8
2013CLAP01,333bf,4043,160,56,4
2011TANH01,333bf,4067,161,52,26
2014MODA01,333bf,4071,162,53,1
2021PISK01,333bf,4080,163,57,14
2016SZYS02,333bf,4083,164,58,15
2012LEHT01,333bf,4108,165,59,2
2014VIKS01,333bf,4110,166,60,3
2017ZHOU44,333bf,4124,167,54,27
2018ZYNE01,333bf,4146,168,61,16
2018LOHT01,333bf,4161,169,9,6
2011RIGG02,333bf,4185,170,13,4
2012FUJI01,333bf,4197,171,55,6
2015YUEW01,333bf,4199,172,56,28
2013SAVA01,333bf,4255,173,62,9
2018SOLN01,333bf,4273,174,63,1
2010MATT02,333bf,4280,175,34,5
2011CHUD01,333bf,4283,176,64,17
2007YOUN04,333bf,4304,177,57,4
2008BARA01,333bf,4338,178,65,3
2009COLO03,333bf,4367,179,66,4
2018FORS03,333bf,4372,180,67,7
2017SHIN02,333bf,4427,181,58,7
2011CAOS01,333bf,4437,182,59,29
2017MUZI01,333bf,4442,183,68,5
2015JUNV01,333bf,4445,184,60,1
2017DOVB01,333bf,4494,185,69,2
2008CASI01,333bf,4524,186,35,2
2007LIME01,333bf,4547,187,36,6
2015BAOW01,333bf,4553,188,61,30
2011SAKO01,333bf,4556,189,37,29
2015WRIG07,333bf,4556,189,70,10
2012CHAN13,333bf,4563,191,62,31
2016LUSH02,333bf,4566,192,71,3
2008SEPP01,333bf,4610,193,72,4
2017TANI04,333bf,4616,194,63,8
2008TAKA01,333bf,4623,195,64,9
2014PETE03,333bf,4627,196,73,2
2016HART02,333bf,4633,197,38,30
2018CAMP15,333bf,4643,198,10,4
2017CHEN36,333bf,4645,199,65,32
2010LACQ01,333bf,4647,200,66,4
2015PHOM01,333bf,4662,201,74,5
2015SRIN02,333bf,4667,202,11,7
2016MAOY01,333bf,4672,203,67,33
2016KRAF01,333bf,4683,204,75,8
2009XIAY02,333bf,4693,205,68,34
2013HOLM01,333bf,4710,206,76,1
2009ZEMD01,333bf,4713,207,12,8
2009SIUN01,333bf,4728,208,69,3
2013CHEN46,333bf,4732,209,70,35
2012HALE01,333bf,4737,210,77,11
2019ROBE01,333bf,4750,211,78,3
2015OHHA01,333bf,4753,212,71,5
2017LIMJ02,333bf,4761,213,72,5
2011QUEJ01,333bf,4767,214,73,36
2014JELI01,333bf,4787,215,79,1
2015HESS01,333bf,4787,215,39,7
2016JIAN34,333bf,4812,217,74,37
2018HAMI06,333bf,4833,218,75,4
2018LIUL05,333bf,4860,219,76,38
2014HANJ02,333bf,4864,220,77,39
2015PEAR02,333bf,4876,221,13,9
2012IVAN02,333bf,4893,222,80,9
2017KLOS01,333bf,4912,223,81,9
2017SIAU02,333bf,4914,224,40,31
2007XUYU01,333bf,4935,225,78,40
2011ROHM01,333bf,4936,226,79,5
2012YUTA01,333bf,4938,227,82,1
2017KITA03,333bf,4969,228,80,10
2008LIMS01,333bf,4989,229,81,6
2016RIDL01,333bf,4992,230,83,12
2012LIUJ06,333bf,4996,231,82,4
2011NIAP02,333bf,5008,232,83,1
2011FRES01,333bf,5010,233,84,10
2013GUER03,333bf,5020,234,85,6
2015LEON02,333bf,5027,235,84,2
2009SWEE01,333bf,5029,236,85,4
2019FUBO01,333bf,5031,237,86,41
2014HOLL01,333bf,5033,238,41,32
2013WAIN01,333bf,5075,239,14,10
2016JOHN30,333bf,5082,240,42,33
2015MACD03,333bf,5089,241,15,5
2021TANG07,333bf,5099,242,16,11
2010UTOM01,333bf,5108,243,87,6
2015WRON01,333bf,5117,244,86,18
2007KRIS01,333bf,5117,244,86,4
2009LEAN01,333bf,5125,246,43,34
2017HUGH04,333bf,5130,247,17,12
2016DAVI02,333bf,5152,248,44,35
2016LEHE01,333bf,5195,249,88,7
2021OTAI01,333bf,5216,250,88,1
2016HEND01,333bf,5237,251,89,7
2012WERB01,333bf,5265,252,89,11
2017FENG10,333bf,5268,253,90,5
2016WHEA01,333bf,5287,254,90,13
2016ABAE01,333bf,5315,255,91,10
2015HOUX01,333bf,5332,256,91,42
2017SUNC02,333bf,5334,257,45,36
2013APAZ01,333bf,5357,258,14,5
2009DAVI01,333bf,5360,259,46,37
2013ZHAN41,333bf,5365,260,92,43
2015JOIN01,333bf,5366,261,47,38
2015EWER01,333bf,5369,262,92,5
2014GUZM03,333bf,5382,263,48,1
2005KOCZ01,333bf,5386,264,93,4
2012RUPE01,333bf,5389,265,93,7
2016XUWE02,333bf,5394,266,94,44
2012POHL01,333bf,5400,267,94,12
2018BLOC01,333bf,5407,268,95,13
2015TORR17,333bf,5421,269,15,6
2009BARB01,333bf,5425,270,16,4
2011SBAH01,333bf,5451,271,49,39
2012DVOA01,333bf,5458,272,96,2
2016WIEC02,333bf,5480,273,50,40
2013MUAT01,333bf,5501,274,97,3
2016TAMU01,333bf,5526,275,95,11
2015FUSH01,333bf,5532,276,96,8
2016SOON01,333bf,5537,277,97,2
2010SOUZ01,333bf,5548,278,17,5
2009LIUE01,333bf,5556,279,51,41
2012IWAS01,333bf,5573,280,98,12
2013VALE03,333bf,5578,281,98,11
2009LUOX01,333bf,5585,282,99,45
2007NAKA03,333bf,5591,283,100,13
2011MANS02,333bf,5591,283,18,4
2017MINA04,333bf,5593,285,99,4
2013SATO01,333bf,5604,286,101,14
2018DIER01,333bf,5607,287,100,1
2014HOLU01,333bf,5628,288,101,4
2017SWAI01,333bf,5671,289,102,14
2014LOPE04,333bf,5681,290,103,3
2015KORO02,333bf,5692,291,104,5
2017SHIM06,333bf,5701,292,102,46
2012LIYA01,333bf,5706,293,103,47
2015QUAN03,333bf,5718,294,104,6
2017KISL01,333bf,5727,295,105,12
2007JIPT01,333bf,5728,296,106,14
2014PAUL05,333bf,5748,297,18,13
2012HUYA01,333bf,5762,298,105,48
2010BENT01,333bf,5770,299,107,15
2017YUNG02,333bf,5818,300,52,42
2013BRAT01,333bf,5837,301,108,16
2013CHEN22,333bf,5856,302,109,8
2009SANC06,333bf,5860,303,110,4
2014OKEN01,333bf,5873,304,111,13
2014XUSU01,333bf,5874,305,106,49
2015BAKK01,333bf,5882,306,53,43
2008YUDA01,333bf,5882,306,107,6
2014BENT02,333bf,5891,308,112,6
2012PONC02,333bf,5892,309,54,44
2011LINC06,333bf,5903,310,108,50
2016LOPE20,333bf,5936,311,109,7
2011KOGL01,333bf,5937,312,113,1
2014GONI01,333bf,5975,313,19,1
2005BATI01,333bf,6004,314,114,5
2017CHAM09,333bf,6008,315,115,15
2009LIAN03,333bf,6017,316,110,7
2011HUAN10,333bf,6025,317,111,51
2013TANG07,333bf,6036,318,112,52
2017LEMB02,333bf,6041,319,116,1
2015RIVE05,333bf,6047,320,117,16
2009SHEE01,333bf,6047,320,117,16
2010SUGA01,333bf,6048,322,113,15
2008COUR01,333bf,6058,323,119,9
2017SEMO02,333bf,6064,324,20,6
2016JENS09,333bf,6073,325,120,6
2016ALVA09,333bf,6091,326,21,3
2016PILA03,333bf,6095,327,55,45
2010KUSU02,333bf,6106,328,114,9
2014SURE11,333bf,6115,329,115,8
2011MATA01,333bf,6116,330,121,5
2015BERG10,333bf,6126,331,56,8
2014SORI01,333bf,6140,332,57,3
2007YUNQ01,333bf,6149,333,116,53
2015RUSN01,333bf,6165,334,58,9
2012DESM02,333bf,6189,335,122,10
2017INKA01,333bf,6204,336,117,2
2013DAIA01,333bf,6210,337,123,1
2010UBAL01,333bf,6211,338,118,8
2018SANT64,333bf,6216,339,59,4
2014GOSL01,333bf,6222,340,60,46
2018ZHAH02,333bf,6276,341,119,54
2010POSN02,333bf,6278,342,61,47
2008OLLE01,333bf,6291,343,124,6
2009FEAN01,333bf,6298,344,120,10
2016THOR08,333bf,6304,345,125,7
2016ZENK01,333bf,6321,346,126,8
2012HAQQ01,333bf,6322,347,121,11
2007SUNT01,333bf,6325,348,62,48
2015CITT01,333bf,6365,349,127,7
2015CAMP17,333bf,6367,350,22,7
2018SHAO02,333bf,6370,351,122,55
2015HUAN48,333bf,6372,352,63,49
2009OKAD01,333bf,6390,353,123,16
2014BARR02,333bf,6394,354,64,2
2016SAIF01,333bf,6395,355,124,12
2016DROB01,333bf,6400,356,128,1
2016RUCI01,333bf,6418,357,129,1
2016IBAR05,333bf,6435,358,65,5
2017CHOI07,333bf,6448,359,125,7
2009MOSK01,333bf,6471,360,130,19
2017MEYS02,333bf,6496,361,131,17
2012REQU01,333bf,6496,361,131,7
2011PUME01,333bf,6518,363,126,56
2008MAPE01,333bf,6518,363,126,9
2011NARA02,333bf,6523,365,128,9
2016CARL02,333bf,6562,366,133,2
2017AGGA01,333bf,6563,367,66,50
2011RIGG03,333bf,6563,367,23,7
2014CHOE01,333bf,6573,369,129,8
2014KOLE03,333bf,6584,370,134,6
2016PYWI01,333bf,6584,370,134,11
2010VERE01,333bf,6595,372,136,3
2007YUAL01,333bf,6605,373,67,51
2015HETI01,333bf,6621,374,130,57
2017CHAN16,333bf,6645,375,137,12
2017TORR18,333bf,6668,376,68,3
2009KUBO01,333bf,6693,377,131,17
2010WUJI01,333bf,6705,378,132,58
2015PARK24,333bf,6705,378,69,52
2016GRIG01,333bf,6736,380,138,2
2013SUNY02,333bf,6743,381,133,59
2007STRE01,333bf,6743,381,139,18
2015TAKA06,333bf,6747,383,134,18
2017ZHAC06,333bf,6747,383,134,60
2019SHAF02,333bf,6752,385,136,13
2008WEST02,333bf,6781,386,140,9
2018GEOR01,333bf,6792,387,137,10
2009SHEP01,333bf,6799,388,141,18
2009DIEC01,333bf,6815,389,142,19
2015ARYA03,333bf,6820,390,138,11
2009ORTI01,333bf,6825,391,143,8
2016HROM01,333bf,6832,392,144,2
2018ORAZ01,333bf,6832,392,139,1
2011MASS01,333bf,6864,394,145,14
2008MAND01,333bf,6893,395,140,12
2015ONOF01,333bf,6899,396,24,8
